"Canceled by Datatrans","Canceled by Datatrans"
"Merchant-ID","Merchant-ID"
"Testmode","Testmode"
"Datatrans HMAC Key","Datatrans HMAC Key"
"Datatrans Response HMAC Key","Datatrans Response HMAC Key"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Initializing 3D-Secure Redirect: display customer notification page","Initializing 3D-Secure Redirect: display customer notification page"
"An error occured while processing the payment: unable to recreate payment instance for method ""%s""","An error occured while processing the payment: unable to recreate payment instance for method ""%s"""
"Customer successfully returned from Datatrans Payment","Customer successfully returned from Datatrans Payment"
"Unique Transaction Identifier: ","Unique Transaction Identifier: "
"Transaction Authorization Code: ","Transaction Authorization Code: "
"Payment Method: ","Payment Method: "
"Payment Method","Payment Method"
"Card Issuing Banks Authorization Code: ","Card Issuing Banks Authorization Code: "
"Name on Card","Name on Card"
"Credit Card Type","Credit Card Type"
"--Please Select--","--Please Select--"
"Credit Card Number","Credit Card Number"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"What is this?","What is this?"
"You will be redirected to PayPal website after the last step of checkout.","You will be redirected to PayPal website after the last step of checkout."
"You will be redirected to Postfinance website after the last step of checkout.","You will be redirected to Postfinance website after the last step of checkout."
"Datatrans Transaction ID: %s","Datatrans Transaction ID: %s"
"Datatrans","Datatrans"
"Enabled","Enabled"
"Title","Title"
"Authorize Only (Reservation)","Authorize Only (Reservation)"
"Authorize and Capture (Booking)","Authorize and Capture (Booking)"
"Credit Card Types","Credit Card Types"
"CreditCard-Payments (via Datatrans)","CreditCard-Payments (via Datatrans)"
"Sort Order","Sort Order"
"Allow MasterCard and VISA transactions without 3D-Secure liability shift","Allow MasterCard and VISA transactions without 3D-Secure liability shift"
"Payments from other Credit Card Types that do not offer 3D-Secure are not affected by this option","Payments from other Credit Card Types that do not offer 3D-Secure are not affected by this option"
"Payment Action","Payment Action"
"PayPal (via Datatrans)","PayPal (via Datatrans)"
"Postfinance (via Datatrans)","Postfinance (via Datatrans)"
"An error occured while processing the payment, please contact the store owner for assistance.","An error occured while processing the payment, please contact the store owner for assistance."
"An error occures while processing the payment: %s","An error occures while processing the payment: %s"
"Authorization for %s successfull (AUTHCODE %s, ID %s)","Authorization for %s successfull (AUTHCODE %s, ID %s)"
"Error authorizing payment: %s","Error authorizing payment: %s"
"Error parsing response: %s","Error parsing response: %s"
"Error: authorization requested for order ""%s"", recieved authorization for order id ""%s""","Error: authorization requested for order ""%s"", recieved authorization for order id ""%s"""
"Error processing payment: %s","Error processing payment: %s"
"An error occured while processing the payment, unable to initialize 3D Secure MPI: %s","An error occured while processing the payment, unable to initialize 3D Secure MPI: %s"
"Please check the error log for details","Please check the error log for details"
"Unable to verify 3D-Secure participation: %s","Unable to verify 3D-Secure participation: %s"
"Error validating card MPI enrollment","Error validating card MPI enrollment"
"3D-Secure Authorization cancelled by customer","3D-Secure Authorization cancelled by customer"
"Order processing halted because 3D-Secure liability shift is not available.","Order processing halted because 3D-Secure liability shift is not available."
"The credit card is not enrolled in the 3D-Secure program. Please contact the institution issuing your card for further information.","The credit card is not enrolled in the 3D-Secure program. Please contact the institution issuing your card for further information."
"3D-Secure liability shift not available for this transaction","3D-Secure liability shift not available for this transaction"
"3D-Secure liability shift was disabled during authorization request","3D-Secure liability shift was disabled during authorization request"
"Redirect ""%s""","Redirect ""%s"""
"Your %s Card is activated for ""%s""","Your %s Card is activated for ""%s"""
"You will be redirected to the card-issuer in order to identify yourself.","You will be redirected to the card-issuer in order to identify yourself."
"3D-Secure not supported by your card.","3D-Secure not supported by your card."
"If you are not redirected within 5 seconds please <a href=""%s"">click here</a>.","If you are not redirected within 5 seconds please <a href=""%s"">click here</a>."
"Unfortunately, your credit card was declined as its limit was reached.","Unfortunately, your credit card was declined as its limit was reached."
